id,uid,pid,suggestion_id,starttime,endtime,status
9527,3386,1914,5,2016-12-05 10:30:00,2016-12-05 11:30:00,2
9528,6935,1926,1,2016-11-30 08:30:00,2016-11-30 09:30:00,2
9531,7732,1871,1,2016-11-28 08:30:00,2016-11-28 09:30:00,2
9532,7732,1871,1,2016-12-05 08:30:00,2016-12-05 09:30:00,2
9538,2735,1927,1,2016-12-01 15:00:00,2016-12-01 16:00:00,2
9539,9446,1180,1,2016-12-05 09:00:00,2016-12-05 09:50:00,2
9544,6598,1898,1,2016-12-06 09:30:00,2016-12-06 10:20:00,2
9552,3145,1610,5,2016-12-05 16:00:00,2016-12-05 17:00:00,2
9557,3308,1544,1,2016-12-06 16:00:00,2016-12-06 16:50:00,2
9565,4807,994,1,2016-12-06 19:00:00,2016-12-06 20:00:00,2
9569,8377,1870,1,2016-12-06 18:00:00,2016-12-06 18:40:00,2
9578,7930,1819,1,2016-12-07 10:29:00,2016-12-07 11:29:00,2
9592,2873,1801,5,2016-12-07 10:00:00,2016-12-07 10:50:00,2
9595,8679,1919,1,2016-12-07 15:00:00,2016-12-07 15:50:00,2
9610,4559,1920,1,2016-12-08 15:00:00,2016-12-08 16:00:00,2
9617,7695,1820,1,2016-12-05 16:00:00,2016-12-05 17:00:00,2
9618,6726,1631,1,2016-12-06 09:00:00,2016-12-06 10:00:00,2
9619,6531,1771,5,2016-12-06 10:00:00,2016-12-06 11:00:00,2
9621,10160,1825,1,2016-12-09 09:00:00,2016-12-09 09:50:00,2
9622,7495,1669,1,2016-12-09 10:00:00,2016-12-09 10:50:00,2
9625,7327,1921,1,2016-12-08 14:00:00,2016-12-08 14:55:00,2
9626,9753,1885,1,2016-12-08 15:00:00,2016-12-08 15:50:00,2
9627,5594,1853,5,2016-12-08 16:00:00,2016-12-08 16:55:00,2
9630,8374,1851,1,2016-12-09 10:00:00,2016-12-09 11:00:00,2
9632,5689,1621,5,2016-12-09 14:00:00,2016-12-09 15:00:00,2
9656,7956,1855,1,2016-12-09 09:00:00,2016-12-09 09:50:00,2
9679,6935,1926,1,2016-12-07 08:30:00,2016-12-07 09:30:00,2
