id,sid,interview_type,date,type1,type2,type3,suggestion,submitTime,status
476,69440,0,2015-09-29 14:00:00,53,104,104,5,2015-10-15 11:25:16,1
477,59304,0,2015-10-15 11:25:00,53,85,104,1,2015-10-15 11:47:52,1
478,67593,0,2015-10-14 16:18:00,54,104,104,1,2015-10-15 13:23:40,1
479,60318,0,2015-10-14 15:24:00,104,104,104,5,2015-10-15 13:26:02,1
480,68090,0,2015-10-15 14:00:00,53,93,95,1,2015-10-15 14:02:42,1
481,64360,0,2015-10-15 14:04:00,104,104,104,1,2015-10-15 14:05:13,1
482,64584,0,2015-10-15 11:30:00,64,104,104,4,2015-10-15 14:31:44,1
483,64106,0,2015-10-15 15:22:00,104,104,104,5,2015-10-15 15:24:23,1
484,60950,0,2015-10-15 15:33:00,104,104,104,5,2015-10-15 15:33:24,1
485,64984,0,2015-10-15 15:35:00,104,104,104,5,2015-10-15 15:36:06,1
486,68862,0,2015-10-15 15:39:00,53,93,103,4,2015-10-15 15:39:59,1
487,66264,0,2015-10-14 18:30:00,65,77,104,1,2015-10-15 15:40:15,1
488,61501,0,2015-10-14 19:00:00,56,77,104,1,2015-10-15 15:43:03,1
489,68823,0,2015-10-14 19:30:00,104,104,104,5,2015-10-15 15:45:17,1
490,67469,0,2015-10-14 20:00:00,61,92,104,1,2015-10-15 15:49:22,1
491,65675,0,2015-10-15 20:30:00,54,93,104,5,2015-10-15 15:52:36,1
492,61102,0,2015-09-17 15:49:00,53,104,104,1,2015-10-15 17:51:27,1
493,64553,0,2015-10-14 18:15:00,61,104,104,4,2015-10-15 20:37:25,1
494,64474,0,2015-10-14 00:00:00,63,73,104,1,2015-10-15 21:33:12,1
495,66505,0,2015-10-14 00:00:00,61,93,104,1,2015-10-15 21:42:34,1
496,60322,0,2015-10-14 00:00:00,61,93,104,1,2015-10-15 21:55:22,1
497,67576,0,2015-10-14 00:00:00,61,93,104,5,2015-10-15 22:02:22,1
498,66458,0,2015-10-14 00:00:00,61,73,104,1,2015-10-15 22:24:12,1
499,61419,0,2015-10-14 00:00:00,54,93,104,1,2015-10-15 22:32:25,1
500,62279,0,2015-10-16 09:27:00,104,104,104,4,2015-10-16 09:31:30,1
501,63088,0,2015-10-16 09:20:00,65,104,104,5,2015-10-16 09:49:26,1
502,60166,0,2015-10-16 09:00:00,63,93,103,1,2015-10-16 09:55:25,1
503,67362,0,2015-10-16 09:40:00,62,104,104,1,2015-10-16 10:14:39,1
504,63375,0,2015-10-16 10:00:00,65,104,104,5,2015-10-16 10:29:57,1
505,63933,0,2015-10-16 10:10:00,63,104,104,5,2015-10-16 10:42:09,1
506,59966,0,2015-10-16 10:47:00,104,73,104,4,2015-10-16 10:51:16,1
507,61377,0,2015-10-16 10:55:00,104,104,104,5,2015-10-16 10:58:54,1
508,64753,0,2015-10-16 10:30:00,63,104,104,1,2015-10-16 11:07:56,1
509,68564,0,2015-10-16 11:00:00,104,104,104,5,2015-10-16 11:31:34,1
510,65240,0,2015-10-16 10:30:00,65,104,104,5,2015-10-16 11:45:32,1
511,61371,0,2015-10-16 11:52:00,104,104,104,4,2015-10-16 11:55:38,1
512,64661,0,2015-10-16 10:00:00,63,93,104,5,2015-10-16 12:05:25,1
513,66225,0,2015-10-16 13:47:00,104,104,104,5,2015-10-16 13:51:40,1
514,68813,0,2015-10-16 10:00:00,62,104,104,1,2015-10-16 14:48:29,1
515,60165,0,2015-10-16 15:12:00,53,104,95,1,2015-10-16 15:17:14,1
517,65427,0,2015-10-16 15:29:00,65,93,104,4,2015-10-16 15:35:44,1
520,66567,0,2015-10-16 15:34:00,65,104,104,4,2015-10-16 15:39:37,1
521,68384,0,2015-10-15 10:50:00,63,92,104,1,2015-10-16 15:40:55,1
522,66186,0,2015-10-16 15:43:00,104,104,104,5,2015-10-16 15:48:19,1
523,62552,0,2015-10-16 11:30:00,53,73,95,1,2015-10-16 15:54:27,1
524,66420,0,2015-10-16 16:15:00,65,104,104,4,2015-10-16 16:20:07,1
526,68716,0,2015-10-19 15:00:00,65,104,104,4,2015-10-19 15:47:31,1
527,63103,0,2015-10-20 09:42:00,64,104,104,1,2015-10-20 09:46:47,0
529,64673,0,2015-10-20 10:17:00,54,104,104,1,2015-10-20 10:22:37,0
530,63163,0,2015-10-20 13:18:00,53,74,95,1,2015-10-20 15:26:44,1
531,62555,0,2015-10-21 15:00:00,104,104,104,5,2015-10-21 15:22:30,1
532,68815,0,2015-10-19 15:45:00,54,104,104,1,2015-10-21 20:57:01,1
533,62695,0,2015-10-22 09:25:00,104,104,104,5,2015-10-23 08:16:54,1
534,68796,0,2015-10-23 11:01:00,61,93,104,5,2015-10-23 11:03:50,1
535,65395,0,2015-10-23 16:00:00,65,104,104,4,2015-10-23 16:52:44,1
536,68096,0,2015-10-14 20:00:00,54,104,104,4,2015-10-25 23:02:31,1
537,68760,0,2015-10-14 20:00:00,54,104,104,4,2015-10-26 10:59:34,1
538,66276,0,2015-10-14 19:30:00,54,104,104,4,2015-10-26 11:05:25,1
539,63842,0,2015-10-14 20:30:00,53,104,104,4,2015-10-26 11:14:26,1
540,60660,0,2015-10-29 10:30:00,54,83,104,1,2015-10-29 11:09:02,1
541,68310,0,2015-10-29 14:57:00,104,104,104,5,2015-10-29 14:59:46,1
542,64234,0,2015-10-30 11:10:00,54,104,104,5,2015-10-30 11:45:23,1
544,60785,0,2015-11-02 11:23:00,53,73,104,4,2015-11-02 13:42:36,1
545,67966,0,2015-11-02 15:49:00,61,104,104,1,2015-11-02 15:52:06,1
546,62878,0,2015-11-02 16:02:00,65,104,103,4,2015-11-02 16:05:18,1
547,67827,0,2015-11-03 09:10:00,53,104,104,5,2015-11-03 09:43:28,1
548,65505,0,2015-11-03 10:10:00,53,104,104,5,2015-11-03 10:44:04,1
549,68874,0,2015-11-03 11:10:00,53,83,104,1,2015-11-03 19:37:27,1
550,69515,0,2015-11-03 10:00:00,53,104,104,1,2015-11-03 22:36:08,1
551,69516,0,2015-11-10 09:00:00,104,104,104,5,2015-11-12 15:09:04,1
552,64411,0,2015-11-13 09:30:00,65,104,104,4,2015-11-13 10:04:35,1
554,66541,0,2015-12-07 15:00:00,53,73,103,1,2015-12-07 15:26:45,1
555,63576,0,2015-12-09 11:10:00,53,104,104,5,2015-12-09 11:36:00,1
564,64625,0,2016-03-29 00:00:00,61,104,104,1,2016-03-29 15:40:05,1
565,63441,0,2016-03-29 00:00:00,63,104,104,1,2016-03-29 15:59:16,1
573,67834,2,2016-09-18 14:00:00,65,104,104,4,2016-09-18 16:04:05,1
758,62744,2,2016-11-28 00:00:00,57,74,95,4,2016-11-28 11:25:30,1
771,62339,2,2017-05-02 14:00:00,61,74,94,4,2017-05-05 23:31:08,1
773,64093,2,2017-08-09 11:35:00,61,104,104,1,2017-08-09 12:18:23,1
774,66541,0,2017-08-18 15:30:00,53,74,104,5,2017-08-24 09:28:36,1
