id,uid,date,type1,type2,type3,zd0,zd1,zd2,submit_time,status
592,65405,2015-11-12,53,104,104,0,0,0,2015-11-12 10:45:54,1
594,59583,2015-11-12,65,104,104,1,1,1,2015-11-12 15:48:20,1
595,62489,2015-11-12,53,104,104,1,0,1,2015-11-12 16:58:39,1
599,66316,2015-11-16,53,74,95,0,0,0,2015-11-16 16:33:56,1
610,60496,2015-11-19,53,104,104,1,1,1,2015-11-19 16:44:36,1
612,62153,2015-11-20,53,93,104,0,1,0,2015-11-20 10:29:06,1
616,67533,2015-11-20,53,93,104,0,1,1,2015-11-20 16:03:52,1
619,63848,2015-11-23,65,104,104,1,1,1,2015-11-23 14:22:00,1
620,63511,2015-11-11,53,89,104,0,0,1,2015-11-24 08:05:21,1
624,65411,2015-11-23,54,104,104,1,1,1,2015-11-25 11:21:05,1
628,65093,2015-11-26,61,104,104,1,1,1,2015-11-26 15:45:48,1
631,59479,2015-11-27,54,104,104,1,1,1,2015-11-27 11:22:36,1
642,64284,2015-12-01,60,104,104,1,1,1,2015-12-01 14:20:15,1
650,63669,2015-12-02,53,74,104,0,0,0,2015-12-02 16:25:04,1
653,61891,2015-12-03,53,93,104,0,1,1,2015-12-03 12:12:02,1
654,61891,2015-12-03,53,93,104,0,1,1,2015-12-03 12:12:02,1
655,68815,2015-10-19,65,104,104,1,0,1,2015-12-03 13:46:03,1
656,62781,2015-12-03,53,77,103,1,1,1,2015-12-03 16:10:28,1
657,65899,2015-12-03,64,86,104,0,0,1,2015-12-03 16:14:57,1
658,62751,2015-12-04,63,104,104,1,1,1,2015-12-04 10:39:05,1
663,68641,2015-12-04,53,93,104,0,1,1,2015-12-04 17:15:30,1
669,65954,2015-12-07,60,104,104,1,1,1,2015-12-07 16:42:03,1
671,64731,2015-12-08,63,104,104,1,1,1,2015-12-08 11:09:44,1
673,59965,2015-12-08,63,104,104,1,1,1,2015-12-08 14:50:23,1
674,59966,2015-12-08,63,104,95,1,0,0,2015-12-08 14:57:32,1
675,61929,2015-12-08,63,104,104,1,1,1,2015-12-08 15:01:24,1
678,63576,2015-12-09,54,104,104,1,1,1,2015-12-09 11:57:25,1
686,61499,2015-12-11,54,104,104,1,0,1,2015-12-11 10:22:29,1
688,63979,2015-12-11,53,104,104,0,1,1,2015-12-11 15:31:46,1
692,60163,2015-12-14,64,104,104,1,1,1,2015-12-14 17:14:58,1
704,60668,2015-12-17,53,104,104,0,1,1,2015-12-17 10:09:57,1
705,60668,2015-12-17,53,104,104,0,1,1,2015-12-17 10:09:57,1
709,66541,2015-12-17,53,93,103,0,0,0,2015-12-17 21:10:52,1
710,65106,2015-12-18,63,104,104,1,0,1,2015-12-18 11:51:21,1
716,60136,2015-12-21,60,104,104,1,1,1,2015-12-21 15:05:11,1
717,63630,2015-12-21,61,104,104,1,1,1,2015-12-21 15:33:57,1
719,60058,2015-12-22,54,104,104,1,1,1,2015-12-22 09:47:20,1
724,65724,2015-12-22,60,104,104,1,1,1,2015-12-22 16:18:57,1
725,62360,2015-12-22,63,104,104,1,0,1,2015-12-22 16:46:48,1
727,64353,2015-12-23,53,93,104,0,1,1,2015-12-23 10:59:23,1
735,61742,2015-12-24,54,104,104,1,1,1,2015-12-25 09:11:07,1
736,64144,2015-12-25,63,104,104,1,1,1,2015-12-25 12:10:39,1
737,61968,2015-12-24,63,104,104,1,1,1,2015-12-25 12:47:27,1
740,59929,2015-12-25,53,93,104,0,1,1,2015-12-25 14:12:59,1
744,67802,2015-12-25,64,93,104,1,1,1,2015-12-25 15:59:42,1
745,67802,2015-12-25,64,93,104,1,1,1,2015-12-25 15:59:42,1
746,61181,2015-12-28,54,104,104,1,0,1,2015-12-28 09:55:33,1
752,60757,2015-12-29,63,104,95,1,0,0,2015-12-29 17:00:41,1
753,68193,2015-12-30,63,104,103,0,1,1,2015-12-30 10:40:54,1
760,63514,2015-12-31,60,104,104,1,1,1,2015-12-31 16:28:19,1
762,66833,2016-01-04,53,93,104,0,1,1,2016-01-04 15:25:24,1
778,63027,2016-01-07,53,104,104,1,1,1,2016-01-07 16:41:35,1
779,68514,2016-01-05,63,83,104,0,1,1,2016-01-08 13:41:29,1
783,59674,2016-01-11,54,104,104,1,1,1,2016-01-11 18:21:01,1
785,67863,2016-01-13,65,93,104,1,1,1,2016-01-13 11:07:15,1
791,68641,2016-02-26,53,93,104,0,1,1,2016-02-26 09:52:21,1
796,65583,2016-02-26,53,93,104,0,1,1,2016-02-26 14:18:16,1
797,65583,2016-02-26,53,93,104,0,1,1,2016-02-26 14:18:19,1
799,59304,2016-02-26,53,93,103,0,1,1,2016-02-26 14:20:31,1
803,65492,2016-02-26,53,93,104,0,1,1,2016-02-26 14:34:10,1
804,65724,2016-02-26,53,93,104,0,1,1,2016-02-26 14:35:27,1
810,68417,2016-02-26,53,93,104,0,1,1,2016-02-26 14:46:51,1
811,60757,2016-02-26,53,93,104,0,1,1,2016-02-26 14:48:31,1
817,65682,2016-02-29,60,104,104,1,1,1,2016-02-29 16:01:34,1
823,59817,2016-03-01,53,104,104,1,1,1,2016-03-01 10:50:37,1
830,65828,2016-03-01,53,83,104,0,1,1,2016-03-01 11:51:07,1
832,60031,2016-03-01,54,83,104,0,1,1,2016-03-01 14:28:41,1
834,67762,2016-03-01,54,83,104,0,0,1,2016-03-01 14:45:45,1
836,61255,2016-03-01,65,83,104,1,1,1,2016-03-01 15:45:07,1
839,67716,2016-03-01,60,83,104,1,0,1,2016-03-02 08:38:55,1
843,61978,2016-03-02,61,104,104,1,1,1,2016-03-02 10:24:57,1
845,63037,2016-03-02,54,104,104,1,1,1,2016-03-02 10:49:29,1
850,66082,2016-03-02,60,104,104,1,1,1,2016-03-02 17:07:01,1
851,65116,2016-03-02,62,104,104,1,1,1,2016-03-02 17:10:03,1
853,68050,2016-03-02,60,104,104,1,1,1,2016-03-02 17:15:32,1
854,60455,2016-03-02,63,104,104,1,1,1,2016-03-02 17:19:08,1
858,59413,2016-03-02,53,104,104,1,1,1,2016-03-03 16:23:35,1
863,64355,2016-03-03,61,74,104,1,1,1,2016-03-03 17:20:56,1
865,67189,2016-03-03,60,70,104,0,0,0,2016-03-04 09:37:19,1
867,60453,2016-03-03,53,92,95,0,0,0,2016-03-04 09:42:41,1
869,59583,2016-03-04,53,93,103,0,1,1,2016-03-04 10:35:13,1
873,61094,2016-03-04,53,93,104,0,1,1,2016-03-04 15:10:57,1
883,68564,2016-03-07,54,74,104,0,0,1,2016-03-07 12:27:03,1
885,66067,2016-03-07,53,93,103,0,1,1,2016-03-07 13:16:01,1
887,61097,2016-03-07,53,104,104,1,1,1,2016-03-07 16:44:35,1
891,66831,2016-02-24,53,104,104,1,1,1,2016-03-08 10:02:44,1
895,65490,2016-03-08,64,104,104,1,1,1,2016-03-08 10:43:14,1
901,66383,2016-03-08,54,104,104,1,1,1,2016-03-08 15:13:55,1
907,59589,2016-03-09,53,104,104,0,1,1,2016-03-09 09:55:10,1
909,61858,2016-03-09,53,74,103,0,0,1,2016-03-09 10:25:19,1
919,59636,2016-03-10,65,104,104,1,1,1,2016-03-10 15:57:03,1
922,65928,2016-03-10,63,73,104,0,1,1,2016-03-10 17:34:57,1
923,67179,2016-03-10,60,104,104,1,0,1,2016-03-10 17:38:50,1
924,60137,2016-03-11,53,104,104,1,0,1,2016-03-11 10:15:14,1
925,66746,2016-03-11,65,104,104,1,1,1,2016-03-11 10:24:12,1
931,63199,2016-03-11,53,104,104,0,1,1,2016-03-11 15:29:36,1
932,59909,2016-03-14,53,104,104,0,1,1,2016-03-14 08:50:10,1
938,65162,2016-03-14,61,104,104,1,1,1,2016-03-14 11:39:17,1
939,60881,2016-03-14,54,104,95,1,0,1,2016-03-14 15:58:12,1
940,64478,2016-03-14,60,104,104,1,1,1,2016-03-14 16:23:28,1
946,62790,2016-03-15,65,104,104,1,1,1,2016-03-15 10:48:03,1
947,60656,2016-03-15,60,104,104,1,1,1,2016-03-15 11:16:41,1
950,63976,2016-03-15,61,104,104,1,1,1,2016-03-15 14:39:55,1
951,59182,2016-03-15,54,104,104,1,1,1,2016-03-15 14:47:58,1
952,68033,2016-03-15,61,104,104,1,1,1,2016-03-15 15:56:30,1
953,62389,2016-03-15,60,104,104,1,1,1,2016-03-15 16:25:09,1
961,60831,2016-03-17,54,83,103,0,1,1,2016-03-17 16:07:27,1
964,67117,2016-03-18,62,104,104,1,1,1,2016-03-18 10:55:18,1
968,67182,2016-03-18,63,83,104,0,0,1,2016-03-18 16:18:59,1
969,65236,2016-03-18,65,93,104,0,1,1,2016-03-18 16:41:22,1
972,64399,2016-03-21,54,104,104,1,0,1,2016-03-21 15:21:25,1
973,65575,2016-03-21,54,104,104,1,1,1,2016-03-21 15:46:52,1
