bdipoint,epqpoint,escale,pscale,nscale,lscale,fapoint,famarriage,faattachmentrelation,fafamilyfunction,fachildhoodtrauma,facopingstyle,fapastexperience,fasocialsupport,falifemeaning,falearningmotivation,gender,politicalstatus,religion,residence,fathereducation,mothereducation,brothersistercount,familyrank,parentsmarriage,marriage,isrecommended,isrecommendedbycontest,isartstudent,fathersta,mothersta
0.08481889,0.08481889,0.0,0.0,0.16963779,0.0,0.16963779,0.08481889,0.0,0.0,0.50891336,0.0,0.0,0.16963779,0.16963779,0.33927557,0.08481889,0.33927557,0.08481889,0.08481889,0.33927557,0.25445668,0.16963779,0.16963779,0.08481889,0.08481889,0.16963779,0.16963779,0.16963779,0.08481889,0.08481889
0.14285714,0.07142857,0.0,0.0,0.14285714,0.0,0.14285714,0.35714286,0.21428571,0.0,0.0,0.14285714,0.57142857,0.28571429,0.14285714,0.28571429,0.0,0.14285714,0.07142857,0.14285714,0.07142857,0.21428571,0.07142857,0.07142857,0.21428571,0.07142857,0.14285714,0.14285714,0.14285714,0.07142857,0.07142857
0.20952909,0.13968606,0.0,0.0,0.13968606,0.06984303,0.13968606,0.20952909,0.0,0.0,0.0,0.0,0.13968606,0.13968606,0.06984303,0.27937212,0.06984303,0.13968606,0.20952909,0.13968606,0.48890121,0.48890121,0.27937212,0.06984303,0.06984303,0.06984303,0.13968606,0.13968606,0.13968606,0.06984303,0.06984303
0.07071068,0.14142136,0.07071068,0.0,0.07071068,0.07071068,0.07071068,0.07071068,0.07071068,0.0,0.0,0.0,0.49497475,0.14142136,0.0,0.0,0.0,0.28284271,0.07071068,0.14142136,0.49497475,0.49497475,0.0,0.07071068,0.07071068,0.07071068,0.14142136,0.14142136,0.14142136,0.07071068,0.07071068
0.0,0.20203051,0.10101525,0.0,0.20203051,0.10101525,0.10101525,0.0,0.10101525,0.0,0.30304576,0.20203051,0.0,0.0,0.10101525,0.10101525,0.10101525,0.40406102,0.10101525,0.20203051,0.40406102,0.40406102,0.0,0.10101525,0.10101525,0.10101525,0.20203051,0.20203051,0.20203051,0.10101525,0.10101525
0.153393,0.153393,0.153393,0.0,0.0766965,0.0766965,0.153393,0.0,0.53687549,0.0,0.0,0.0,0.153393,0.153393,0.0766965,0.0,0.0766965,0.153393,0.2300895,0.153393,0.46017899,0.306786,0.153393,0.153393,0.0766965,0.0766965,0.153393,0.153393,0.153393,0.0766965,0.0766965
0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.3,0.1,0.2,0.7,0.3,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1
0.1774713,0.08873565,0.0,0.0,0.1774713,0.0,0.1774713,0.26620695,0.08873565,0.0,0.26620695,0.1774713,0.1774713,0.3549426,0.1774713,0.3549426,0.0,0.1774713,0.08873565,0.1774713,0.1774713,0.26620695,0.08873565,0.1774713,0.26620695,0.08873565,0.1774713,0.1774713,0.1774713,0.08873565,0.08873565
0.0,0.18731716,0.18731716,0.0,0.09365858,0.09365858,0.18731716,0.0,0.46829291,0.0,0.28097574,0.18731716,0.0,0.0,0.18731716,0.0,0.09365858,0.37463432,0.09365858,0.09365858,0.28097574,0.28097574,0.18731716,0.09365858,0.09365858,0.09365858,0.18731716,0.18731716,0.18731716,0.09365858,0.09365858
0.11470787,0.0,0.0,0.0,0.11470787,0.11470787,0.0,0.0,0.11470787,0.0,0.0,0.0,0.0,0.11470787,0.11470787,0.11470787,0.11470787,0.3441236,0.11470787,0.22941573,0.45883147,0.3441236,0.3441236,0.22941573,0.11470787,0.11470787,0.22941573,0.22941573,0.22941573,0.11470787,0.11470787
